roll,pitch,yaw,timestamp
0.06,0.22,-0.1,1759267865.9796057
0.06,0.22,-0.1,1759267865.9820144
0.06,0.22,-0.1,1759267865.9850674
0.06,0.21,-0.1,1759267865.9874716
0.06,0.22,-0.1,1759267865.9904792
0.06,0.22,-0.1,1759267865.9929743
0.07,0.21,-0.1,1759267865.9959822
0.07,0.21,-0.11,1759267865.9984667
0.07,0.21,-0.11,1759267866.0015562
0.07,0.21,-0.11,1759267866.0043871
0.07,0.21,-0.11,1759267866.007424
0.07,0.21,-0.11,1759267866.010037
0.07,0.2,-0.11,1759267866.0123408
0.07,0.2,-0.11,1759267866.0145998
0.07,0.2,-0.11,1759267866.0168152
0.07,0.2,-0.11,1759267866.0190809
0.07,0.2,-0.11,1759267866.0214012
0.07,0.2,-0.11,1759267866.0235767
0.07,0.2,-0.11,1759267866.0260024
0.07,0.2,-0.11,1759267866.0283656
0.07,0.2,-0.11,1759267866.031561
0.07,0.2,-0.11,1759267866.0350585
0.07,0.2,-0.11,1759267866.0378337
0.07,0.19,-0.11,1759267866.0408795
0.07,0.19,-0.11,1759267866.0437222
0.07,0.19,-0.11,1759267866.0467093
0.07,0.19,-0.11,1759267866.0493245
0.08,0.2,-0.11,1759267866.051555
0.07,0.19,-0.11,1759267866.053752
0.07,0.19,-0.11,1759267866.0562563
0.07,0.19,-0.11,1759267866.0585244
0.08,0.18,-0.11,1759267866.0607705
0.08,0.19,-0.11,1759267866.0630038
0.08,0.18,-0.11,1759267866.0654926
0.08,0.19,-0.11,1759267866.0684006
0.08,0.19,-0.11,1759267866.0712738
0.08,0.18,-0.11,1759267866.074379
0.08,0.18,-0.11,1759267866.077516
0.08,0.18,-0.11,1759267866.0813942
0.08,0.18,-0.11,1759267866.083536
0.08,0.18,-0.11,1759267866.086229
0.08,0.18,-0.11,1759267866.0894053
0.08,0.18,-0.11,1759267866.091243
0.09,0.18,-0.11,1759267866.093371
0.09,0.18,-0.11,1759267866.095679
0.09,0.18,-0.11,1759267866.0987082
0.09,0.18,-0.11,1759267866.1009154
0.09,0.18,-0.11,1759267866.1036203
0.09,0.18,-0.11,1759267866.1061811
0.09,0.18,-0.11,1759267866.1086557
0.09,0.18,-0.11,1759267866.111563
0.09,0.18,-0.11,1759267866.1140437
0.09,0.18,-0.11,1759267866.1176505
0.09,0.18,-0.11,1759267866.1208928
0.09,0.18,-0.11,1759267866.1242654
0.1,0.17,-0.1,1759267866.1276772
0.1,0.17,-0.1,1759267866.130828
0.1,0.17,-0.1,1759267866.133555
0.1,0.18,-0.1,1759267866.1354554
0.1,0.18,-0.1,1759267866.139091
0.1,0.18,-0.1,1759267866.1419008
0.1,0.17,-0.1,1759267866.1444347
0.1,0.17,-0.1,1759267866.1463752
0.1,0.17,-0.1,1759267866.1494586
0.1,0.17,-0.1,1759267866.1525042
0.1,0.17,-0.1,1759267866.1543398
0.1,0.17,-0.1,1759267866.158693
0.1,0.17,-0.1,1759267866.1611168
0.1,0.17,-0.1,1759267866.165306
0.1,0.17,-0.1,1759267866.16814
0.1,0.17,-0.1,1759267866.170719
0.1,0.17,-0.1,1759267866.1728897
0.1,0.17,-0.1,1759267866.1750083
0.1,0.17,-0.1,1759267866.1775174
0.1,0.17,-0.1,1759267866.17991
0.1,0.17,-0.1,1759267866.1827383
0.1,0.17,-0.1,1759267866.1852744
0.1,0.17,-0.1,1759267866.187579
0.1,0.17,-0.1,1759267866.190004
0.1,0.17,-0.1,1759267866.192258
0.1,0.17,-0.09,1759267866.194759
0.1,0.17,-0.09,1759267866.19742
0.11,0.18,-0.09,1759267866.1996934
0.1,0.17,-0.09,1759267866.2020626
0.1,0.17,-0.09,1759267866.2044384
0.1,0.17,-0.09,1759267866.2066236
0.11,0.18,-0.09,1759267866.2090385
0.11,0.17,-0.09,1759267866.211712
0.11,0.17,-0.09,1759267866.2138572
0.11,0.18,-0.09,1759267866.216177
0.11,0.18,-0.09,1759267866.2188942
0.11,0.18,-0.09,1759267866.2217937
0.1,0.18,-0.09,1759267866.223878
0.11,0.18,-0.09,1759267866.2259548
0.11,0.18,-0.09,1759267866.228404
0.11,0.18,-0.09,1759267866.230374
0.11,0.18,-0.09,1759267866.2324562
0.1,0.18,-0.09,1759267866.2350242
0.11,0.18,-0.08,1759267866.2380407
0.11,0.18,-0.08,1759267866.241206
0.1,0.18,-0.08,1759267866.2453468
0.11,0.18,-0.08,1759267866.2490804
0.11,0.18,-0.08,1759267866.2517755
0.11,0.18,-0.08,1759267866.254797
0.1,0.18,-0.08,1759267866.2573936
0.11,0.18,-0.08,1759267866.2592032
0.11,0.18,-0.08,1759267866.261485
0.11,0.18,-0.08,1759267866.2649207
0.1,0.18,-0.08,1759267866.2678766
0.11,0.18,-0.08,1759267866.2700288
0.11,0.18,-0.08,1759267866.2734258
0.11,0.18,-0.08,1759267866.2761912
0.1,0.18,-0.08,1759267866.2791538
0.1,0.18,-0.08,1759267866.2808433
0.1,0.18,-0.07,1759267866.2832625
0.1,0.18,-0.07,1759267866.2856607
0.1,0.18,-0.07,1759267866.2879088
0.1,0.18,-0.07,1759267866.2903454
0.1,0.18,-0.07,1759267866.2925768
0.1,0.18,-0.07,1759267866.2948332
0.1,0.18,-0.07,1759267866.2972243
0.1,0.18,-0.07,1759267866.2995827
0.1,0.18,-0.07,1759267866.3018372
0.1,0.19,-0.07,1759267866.3044004
0.1,0.19,-0.07,1759267866.307016
0.1,0.19,-0.07,1759267866.3093257
0.1,0.19,-0.07,1759267866.3126316
0.1,0.19,-0.07,1759267866.3158858
0.1,0.19,-0.07,1759267866.318551
0.1,0.19,-0.06,1759267866.321179
0.1,0.19,-0.06,1759267866.3234627
0.1,0.19,-0.06,1759267866.326054
0.1,0.19,-0.06,1759267866.3283873
0.1,0.19,-0.06,1759267866.331169
0.1,0.19,-0.06,1759267866.3333714
0.1,0.19,-0.06,1759267866.3361464
0.1,0.19,-0.06,1759267866.3382297
0.1,0.19,-0.06,1759267866.3406696
0.1,0.19,-0.06,1759267866.3435297
0.1,0.19,-0.06,1759267866.346079
0.1,0.19,-0.06,1759267866.3496585
0.1,0.19,-0.06,1759267866.3521292
0.1,0.19,-0.05,1759267866.355074
0.1,0.19,-0.05,1759267866.3576047
0.1,0.19,-0.05,1759267866.3599503
0.1,0.19,-0.05,1759267866.3637223
0.1,0.19,-0.05,1759267866.3677049
0.1,0.19,-0.05,1759267866.3715005
0.1,0.19,-0.05,1759267866.3741944
0.1,0.2,-0.05,1759267866.3781831
