cR,cP,cY,timestamp
-0.04033701483642281,0.030013443181003397,0.04935088442752342,1759343173.7681203
-0.04447051403728783,0.026295092932972025,0.05064531993715872,1759343173.792565
-0.034048589656765875,-0.004170989832434378,0.033306296332512045,1759343173.810085
-0.023259499910981207,-0.052003675613405125,0.009014741421081997,1759343173.827195
-0.01881323907910252,-0.0759377030304183,-0.02268514504081553,1759343173.8441958
-0.013929105285270534,-0.09054261940679391,-0.049496627821295075,1759343173.8682995
0.011766859388315752,-0.2131800491535395,-0.1537540698815274,1759343173.893078
0.01774146116179762,-0.239809998259491,-0.1507250193717669,1759343173.9281163
0.028611365381275938,-0.2599758386659233,-0.12333674889596206,1759343173.9494538
0.02961001978090269,-0.23656604677368318,-0.08350265030313543,1759343173.978806
0.06852184619924681,-0.2707097485691944,-0.07358357245814023,1759343173.99923
0.052830621827606956,-0.21931263000532278,-0.04316884272615684,1759343174.0259247
0.12432179497272491,-0.3452903563549768,-0.0018614077988900399,1759343174.0566494
0.09462924887519096,-0.1819469730056492,0.0323975637903281,1759343174.0827785
0.05739984410680715,-0.08125854047898044,0.0033124338137101306,1759343174.1057322
0.04537308019630183,-0.05552427939614352,-0.018088628968157917,1759343174.1331575
0.03436136528745438,-0.057004555999099184,-0.01828736969195765,1759343174.152167
0.05706303580453683,0.057089915715091796,-0.0324520853796053,1759343174.169208
0.014162531826871556,-0.035992538644940696,-0.029975542856016096,1759343174.188727
-0.008062654149057043,0.03235985952735311,-0.03592623489751251,1759343174.2006476
-0.04046300465056965,0.07464232007705918,-0.006857506167653597,1759343174.2279396
-0.010199756470739021,-0.019623200278233256,-0.008351407349266853,1759343174.243081
-0.05182578611545126,0.061668262535485616,0.0046416620388539526,1759343174.2547193
-0.04357361652644245,0.026984084491876642,0.009620544314056265,1759343174.2689664
-0.04126822958314939,0.031200945722877016,0.015751883874994946,1759343174.286222
-0.027668579351471295,0.005173551621558643,0.013047326663275717,1759343174.3066394
-0.05619585619873145,0.029529414651879422,0.03596674248833422,1759343174.3300292
-0.08071273219400592,0.044585129226160924,0.04845430447110419,1759343174.3502738
-0.07301166463431875,0.02753164578763946,0.028704303366648268,1759343174.3684208
-0.07651452850067243,0.014494832786275565,0.014415732818803926,1759343174.3837185
-0.046457314541739465,-0.019610965114094964,0.0026063904462174875,1759343174.4002092
-0.06490054699578508,-0.019077040430699476,0.00038332356277045055,1759343174.4175706
-0.04890786214448227,-0.0226708145064272,-0.0037824552528832292,1759343174.4335997
-0.04796339252752001,-0.029688686173147995,-0.009363989802436261,1759343174.4495847
-0.023438071911327865,-0.041600692909053945,-0.007484236262522316,1759343174.4707906
-0.01341469238967265,-0.04534962958864826,-0.005306479002995726,1759343174.4877777
-0.00414206358393049,-0.05137823177095569,-0.0010950390946271637,1759343174.5171769
0.007685994535216668,-0.060553054116381066,0.0065925771813631195,1759343174.5349083
0.010652068295909286,-0.053129125029828486,0.003867397158933484,1759343174.5654252
0.021053202513139788,-0.04630647342690754,0.004818376364019961,1759343174.588151
0.016939953609332467,-0.040588098195843116,0.003466007748107683,1759343174.6166928
0.019925826647005616,-0.03563593280955574,0.005369927026713446,1759343174.6435058
0.02092510294420981,-0.02740793104885795,0.008118525543748782,1759343174.6608024
0.013512893087978805,-0.027866168359457003,0.007876112331593216,1759343174.6832514
0.0023916145561779733,-0.029096284165134583,0.004370919322091581,1759343174.707184
-0.01973131076319581,-0.04176110868967351,-0.002339824180084182,1759343174.730562
-0.10327102335241903,-0.04058020487071137,-0.018659381607663634,1759343174.7548857
-0.11168682428760993,-0.05006879970779329,-0.019456871152221708,1759343174.7728012
-0.12228573524069344,-0.049171456430506466,-0.021362971573321274,1759343174.7942204
-0.19310572637190573,-0.04942569598148021,-0.03418268014415467,1759343174.818835
-0.2687399465238604,-0.03858218318209761,-0.04064277342545775,1759343174.84201
-0.20582437622434777,-0.029973584012535477,-0.02272295465336885,1759343174.8732617
-0.22091578611409005,-0.019842054316918878,-0.01126885985201061,1759343174.8935173
-0.21097550709596816,-0.009487365751575157,0.01098578641738744,1759343174.954996
-0.16951215622332372,0.02388104263086239,0.08010414782106418,1759343174.9801002
-0.0587822185669903,0.02465736913671003,0.11781162372776963,1759343175.0126176
0.021522319552763985,-0.02281979108884126,0.1035687457688172,1759343175.039978
0.06387360416054749,-0.0341444127859927,0.09360109924348523,1759343175.0673878
0.21278016172301753,-0.045157013129710336,0.1409139281459554,1759343175.082745
0.1280863846253024,-0.06492863697126067,0.09726626764073429,1759343175.098853
0.1555086984211323,-0.06520847734632802,0.11017624074960403,1759343175.1132762
0.1524835341435706,-0.0622793359456512,0.1096241258044305,1759343175.1253104
0.1771477643380982,-0.0656683138586105,0.12330229158354035,1759343175.1396716
0.19802871799460825,-0.061829879119514,0.13821045821889272,1759343175.1531782
0.10857285608507508,-0.05083629610613291,0.10132162044656978,1759343175.167272
0.17976967417085027,-0.04756292453945753,0.13725192163800828,1759343175.1790788
0.2593425776630455,-0.04023980763058622,0.18140783574905603,1759343175.190267
0.09918298882765683,-0.025342716349247896,0.108251205753717,1759343175.20411
