roll,pitch,yaw,timestamp
0.01,-0.01,-1.47,1758762223.93684
0.01,-0.01,-1.47,1758762223.940292
0.01,-0.01,-1.47,1758762223.9436154
0.01,-0.01,-1.47,1758762223.9468307
0.01,-0.01,-1.47,1758762223.949794
0.01,-0.01,-1.47,1758762223.9532073
0.01,-0.01,-1.47,1758762223.9566054
0.01,-0.01,-1.47,1758762223.959314
0.01,-0.01,-1.47,1758762223.962918
0.01,-0.01,-1.47,1758762223.9659324
0.01,-0.01,-1.47,1758762223.968963
0.01,-0.01,-1.47,1758762223.9725986
0.01,-0.01,-1.47,1758762223.9750357
0.01,-0.01,-1.47,1758762223.977135
0.01,-0.01,-1.47,1758762223.9798293
0.01,-0.01,-1.47,1758762223.9823337
0.01,-0.01,-1.47,1758762223.9842305
0.01,-0.01,-1.47,1758762223.986647
0.01,-0.01,-1.47,1758762223.989254
0.01,-0.01,-1.47,1758762223.9915206
0.01,-0.01,-1.47,1758762223.9939158
0.01,-0.01,-1.47,1758762223.9964762
0.01,-0.01,-1.47,1758762223.998584
0.01,-0.01,-1.47,1758762224.000419
0.01,-0.01,-1.47,1758762224.0037315
0.01,-0.01,-1.47,1758762224.0070522
0.01,-0.01,-1.47,1758762224.0102527
0.01,-0.01,-1.47,1758762224.0133436
0.01,-0.01,-1.47,1758762224.015555
0.01,-0.01,-1.47,1758762224.0178385
0.01,-0.01,-1.47,1758762224.019758
0.01,-0.01,-1.47,1758762224.022347
0.01,-0.01,-1.47,1758762224.024719
0.01,-0.01,-1.47,1758762224.0267737
0.01,-0.01,-1.47,1758762224.02864
0.01,-0.01,-1.47,1758762224.030965
0.01,-0.01,-1.47,1758762224.0330474
0.01,-0.02,-1.47,1758762224.0357068
0.01,-0.01,-1.47,1758762224.0378318
0.01,-0.02,-1.47,1758762224.040093
0.01,-0.02,-1.47,1758762224.0424306
0.01,-0.02,-1.47,1758762224.0444143
0.01,-0.02,-1.47,1758762224.0463283
0.01,-0.02,-1.47,1758762224.048683
0.01,-0.02,-1.47,1758762224.0514047
0.01,-0.02,-1.47,1758762224.0540855
0.01,-0.02,-1.47,1758762224.058298
0.01,-0.02,-1.47,1758762224.062064
0.01,-0.02,-1.47,1758762224.0649216
0.01,-0.01,-1.47,1758762224.0679884
0.01,-0.01,-1.47,1758762224.0701685
0.01,-0.02,-1.47,1758762224.0722773
0.01,-0.02,-1.47,1758762224.0751765
0.01,-0.02,-1.47,1758762224.0774364
0.01,-0.01,-1.47,1758762224.079704
0.01,-0.01,-1.47,1758762224.0816696
0.01,-0.02,-1.47,1758762224.0843718
0.01,-0.01,-1.47,1758762224.086381
0.01,-0.02,-1.47,1758762224.0889406
0.01,-0.01,-1.47,1758762224.0909271
0.01,-0.01,-1.47,1758762224.093394
0.01,-0.01,-1.47,1758762224.0956025
0.01,-0.01,-1.47,1758762224.097651
0.01,-0.01,-1.47,1758762224.0996892
0.01,-0.01,-1.47,1758762224.1017632
0.01,-0.01,-1.47,1758762224.104173
